spreads	SPREDZ	SPREDZ	1195	conjugation				old
birds	PWEURDZ	BIRDZ	1269	plural				old
trends	TREPBDZ	TRENDZ	1279	plural	TREPBD/-Z			old
aids	AEUDZ	AADZ	1303	conjugation	AEUD/-S			old
expands	EBGS/PAPBDZ	EX/PANDZ	1319	conjugation				old
awards	A/WARDZ	A/WARDZ	1339	plural				old
woods	WAODZ	WOODZ	1465	plural				old
affords	AFRDZ	AFRDZ	1486	conjugation	A/TPORDZ			old
bonds	PWOPBDZ	BONDZ	1511	plural				old
brands	PWRAPBDZ	BRANDZ	1547	plural				old
dads	TKADZ	DADZ	1630	plural				old
yards	KWRARDZ	YARDZ	1665	plural	KWRARD/-S			old
guards	TKPWARDZ	GARDZ	1675	conjugation	TKPWHRARDZ			old
neighborhoods	TPHAODZ	NOODZ	1692	plural	TPHAO*DZ, TPHAEUBDZ, TPHAEUB/HAODZ, TPHAEU/PWOR/HAODZ			old
commands	KPHAPBDZ	XHANDZ	1712	conjugation	KOPL/PHAPBDZ			old
yields	KWRAOELDZ	YEELDZ	1731	conjugation				old
households	HOUS/HOLDZ	HOUS/HOLDZ	1744	plural	HOUS/HOELDZ			old
seeds	SAOEDZ	SEEDZ	1813	plural				old
defends	TKEFDZ	DEFDZ	1872	conjugation	TKEFPBDZ, TKE/TPEPBDZ, TKAOE/TPEPBDZ			old
moods	PHAODZ	MOODZ	2064	plural				old
clouds	KHROUDZ	KLOUDZ	2088	conjugation				old
bids	PWEUDZ	BIDZ	2195	conjugation				old
breeds	PWRAOEDZ	BREEDZ	2196	conjugation				old
bends	PWEPBDZ	BENDZ	2266	conjugation				old
floods	TPHRAODZ	NROODZ	2272	conjugation				old
lends	HREPBDZ	LENDZ	2303	conjugation				old
compounds	KPOUPBDZ	XOUNDZ	2378	conjugation	KPOUPBSDZ, KPOUPBTSD, KOPL/POUPBDZ			old
corresponds	KOERZ	KOERZ	2397	conjugation	KO*ERS, KOR/SPOPBDZ, KOR/RE/SPOPBDZ			old
rids	REUDZ	RIDZ	2401	conjugation	REUD/-S, REUD/-Z			old
exceeds	KPAOEDZ	XEEDZ	2506	conjugation	EBGS/AOEDZ, EGS/SAOEDZ, EBGS/SAOEDZ			old
liquids	KWEULDZ	QILDZ	2689	conjugation	HREU/KWEUDZ, HREUBG/WEUDZ			old
